case,algo,heuristic,ok,pasos,costo,expandidos,ms
75,greedy,hamming,True,54,54.0,530,3.01949999993667
75,greedy,manhattan,True,56,56.0,425,3.638700000010431
75,greedy,linear_conflict,True,30,30.0,52,1.0118000209331512
76,a*,hamming,True,26,26.0,27292,199.47830005548894
76,a*,manhattan,True,26,26.0,1608,10.874800034798682
76,a*,linear_conflict,True,26,26.0,793,11.585599975660443
76,greedy,hamming,True,106,106.0,652,3.8490999722853303
76,greedy,manhattan,True,44,44.0,430,3.0078000272624195
76,greedy,linear_conflict,True,42,42.0,78,1.2774000060744584
77,a*,hamming,True,20,20.0,2781,17.673599999397993
77,a*,manhattan,True,20,20.0,198,1.40299997292459
77,a*,linear_conflict,True,20,20.0,247,4.046800022479147
77,greedy,hamming,True,136,136.0,1060,6.091999995987862
77,greedy,manhattan,True,56,56.0,443,3.4363000304438174
77,greedy,linear_conflict,True,22,22.0,28,0.8060000254772604
